session,layer,shape,weight_bits,weight_scale_mode,weight_scale,weight_fractional_bits,weight_min_fp32,weight_max_fp32,weight_mse,weight_max_abs_error,weight_saturation_count,decay_bits,decay_fractional_bits,decay_integer_min,decay_integer_max,decay_saturation_count,potential_bits,threshold_integer_min,threshold_integer_max,threshold_saturation_count,potential_saturation_count,max_abs_potential_integer
indy_20170124_01,fc1,64x96,8,pow2,0.00390625,8,-0.2482456862926483,0.1996513456106186,1.2633248955746357e-06,0.0019527208060026,0,13,13,7280,8184,0,32,26.0,26.0,0,0.0,839.0
indy_20170124_01,fc2,128x64,8,pow2,0.001953125,9,-0.2088985741138458,0.2193174958229065,3.17291382791706e-07,0.0009765475988388,0,13,13,7152,8184,0,32,51.0,51.0,0,0.0,90254.0
indy_20170124_01,fc3,64x128,8,pow2,0.001953125,9,-0.1566085368394851,0.1686738282442093,3.195475256058564e-07,0.0009765326976776,0,13,13,7371,8184,0,32,51.0,51.0,0,0.0,508591.0
indy_20170124_01,fc_out,2x64,8,pow2,0.001953125,9,-0.2243856787681579,0.2294683903455734,3.683091262211482e-07,0.0009750984609127,0,13,13,8114,8118,0,32,,,0,0.0,140508.0
indy_20170127_03,fc1,64x96,8,pow2,0.001953125,9,-0.2166602313518524,0.2227508276700973,3.200015637492269e-07,0.0009762197732925,0,13,13,7330,8184,0,32,51.0,51.0,0,0.0,1742.0
indy_20170127_03,fc2,128x64,8,pow2,0.001953125,9,-0.2244377434253692,0.2147274613380432,3.216060351193261e-07,0.0009764991700649,0,13,13,7132,8184,0,32,51.0,51.0,0,0.0,26717.0
indy_20170127_03,fc3,64x128,8,pow2,0.001953125,9,-0.2112010866403579,0.2114209681749344,3.163317375625455e-07,0.000976275303401,0,13,13,7462,8184,0,32,51.0,51.0,0,0.0,520363.0
indy_20170127_03,fc_out,2x64,8,pow2,0.00390625,8,-0.3008569777011871,0.2746610641479492,1.246722237155722e-06,0.0019244700670242,0,13,13,8111,8111,0,32,,,0,0.0,83842.0
indy_20170131_02,fc1,64x96,8,pow2,0.001953125,9,-0.1840755939483642,0.1973985284566879,3.194441127160596e-07,0.0009762459667399,0,13,13,7195,8183,0,32,51.0,51.0,0,0.0,1286.0
indy_20170131_02,fc2,128x64,8,pow2,0.001953125,9,-0.1932366490364074,0.18360535800457,3.2196597037146774e-07,0.0009764730930328,0,13,13,7178,8168,0,32,51.0,51.0,0,0.0,12834.0
indy_20170131_02,fc3,64x128,8,pow2,0.001953125,9,-0.1386083513498306,0.1448045670986175,3.138694774368525e-07,0.0009765019640326,0,13,13,7318,8184,0,32,51.0,51.0,0,0.0,524168.0
indy_20170131_02,fc_out,2x64,8,pow2,0.001953125,9,-0.1981381773948669,0.2034031599760055,3.351922359359724e-07,0.0009749811142683,0,13,13,8114,8118,0,32,,,0,0.0,124646.0
indy_20160630_01,fc1,64x96,8,pow2,0.00390625,8,-0.2160454839468002,0.2681597173213959,1.2692704353910091e-06,0.0019531231373548,0,13,13,6889,8184,0,32,26.0,26.0,0,0.0,17309.0
indy_20160630_01,fc2,128x64,8,pow2,0.00390625,8,-0.2512337267398834,0.2476202845573425,1.286300996720049e-06,0.0019526870455592,0,13,13,6627,8184,0,32,26.0,26.0,0,0.0,46644.0
indy_20160630_01,fc3,64x128,8,pow2,0.001953125,9,-0.2227286398410797,0.228924423456192,3.218703664619484e-07,0.0009763836860656,0,13,13,6984,8184,0,32,51.0,51.0,0,0.0,93115.0
indy_20160630_01,fc_out,2x64,8,pow2,0.00390625,8,-0.3243698179721832,0.3230235278606415,1.077259555327294e-06,0.0019062906503677,0,13,13,8079,8097,0,32,,,0,0.0,86105.0
indy_20160622_01,fc1,64x96,8,pow2,0.001953125,9,-0.2043120115995407,0.2208193093538284,3.1831284177383054e-07,0.0009764954447746,0,13,13,7292,8184,0,32,51.0,51.0,0,0.0,100185.0
indy_20160622_01,fc2,128x64,8,pow2,0.001953125,9,-0.1964116245508194,0.1983689665794372,3.234688644618965e-07,0.0009764782153069,0,13,13,7005,8184,0,32,51.0,51.0,0,0.0,152504.0
indy_20160622_01,fc3,64x128,8,pow2,0.001953125,9,-0.2001356035470962,0.2233512848615646,3.167016667879049e-07,0.0009765028953552,0,13,13,7291,8184,0,32,51.0,51.0,0,0.0,574095.0
indy_20160622_01,fc_out,2x64,8,pow2,0.00390625,8,-0.247130736708641,0.250897616147995,1.2561923313191867e-06,0.0019484311342239,0,13,13,8112,8124,0,32,,,0,0.0,85575.0
