seed,pair,stage,best_epoch,completed_epoch,early_stopped
42,8-day,source_pretrain,49,59,True
42,8-day,target_finetune,38,48,True
42,8-day,target_scratch,81,91,True
42,3-day,source_pretrain,64,74,True
42,3-day,target_finetune,50,60,True
42,3-day,target_scratch,73,83,True
42,4-day,source_pretrain,51,61,True
42,4-day,target_finetune,37,47,True
42,4-day,target_scratch,38,48,True
43,8-day,source_pretrain,35,45,True
43,8-day,target_finetune,45,55,True
43,8-day,target_scratch,76,86,True
43,3-day,source_pretrain,68,78,True
43,3-day,target_finetune,44,54,True
43,3-day,target_scratch,30,40,True
43,4-day,source_pretrain,89,99,True
43,4-day,target_finetune,10,20,True
43,4-day,target_scratch,30,40,True
44,8-day,source_pretrain,43,53,True
44,8-day,target_finetune,39,49,True
44,8-day,target_scratch,94,100,False
44,3-day,source_pretrain,64,74,True
44,3-day,target_finetune,96,100,False
44,3-day,target_scratch,61,71,True
44,4-day,source_pretrain,43,53,True
44,4-day,target_finetune,37,47,True
44,4-day,target_scratch,21,31,True
