seed,pair,pair_key,source,target,method,R2,CC,RMSE
42,8-day,indy_20160622_01_to_indy_20160630_01,indy_20160622_01,indy_20160630_01,Source-only,-0.059899085204900504,-0.07642651141474435,66.42386858801743
42,8-day,indy_20160622_01_to_indy_20160630_01,indy_20160622_01,indy_20160630_01,Scratch,0.06643877095907041,0.3652771748304634,62.531892202552584
42,8-day,indy_20160622_01_to_indy_20160630_01,indy_20160622_01,indy_20160630_01,Transfer,0.14980270691155861,0.5497112001147636,59.56512989682066
42,3-day,indy_20170124_01_to_indy_20170127_03,indy_20170124_01,indy_20170127_03,Source-only,-0.04681027493617962,-0.04527772274952366,83.5970805035387
42,3-day,indy_20170124_01_to_indy_20170127_03,indy_20170124_01,indy_20170127_03,Scratch,0.15819430071887997,0.45219886488671585,74.94455293351456
42,3-day,indy_20170124_01_to_indy_20170127_03,indy_20170124_01,indy_20170127_03,Transfer,0.2821384861746285,0.5513028666295421,69.11001786854959
42,4-day,indy_20170127_03_to_indy_20170131_02,indy_20170127_03,indy_20170131_02,Source-only,0.5558648654554434,0.7499972726871691,39.91869006851908
42,4-day,indy_20170127_03_to_indy_20170131_02,indy_20170127_03,indy_20170131_02,Scratch,-0.08131163455088042,0.19162424961769414,62.26916276505802
42,4-day,indy_20170127_03_to_indy_20170131_02,indy_20170127_03,indy_20170131_02,Transfer,0.4827579703078038,0.7207069349652195,43.18957185033827
43,8-day,indy_20160622_01_to_indy_20160630_01,indy_20160622_01,indy_20160630_01,Source-only,-0.060510071735972226,0.02826056978944383,66.34666545291978
43,8-day,indy_20160622_01_to_indy_20160630_01,indy_20160622_01,indy_20160630_01,Scratch,0.16767989385394605,0.47803940334640654,59.346464260587894
43,8-day,indy_20160622_01_to_indy_20160630_01,indy_20160622_01,indy_20160630_01,Transfer,0.11456569789693644,0.42562815286228023,61.0900861456866
43,3-day,indy_20170124_01_to_indy_20170127_03,indy_20170124_01,indy_20170127_03,Source-only,-0.008680224143190918,0.009621727728145693,82.18956417467396
43,3-day,indy_20170124_01_to_indy_20170127_03,indy_20170124_01,indy_20170127_03,Scratch,-0.028665438169142576,0.2286892639246676,82.94671898778026
43,3-day,indy_20170124_01_to_indy_20170127_03,indy_20170124_01,indy_20170127_03,Transfer,0.3850051340497217,0.6243258704662951,64.03566874252304
43,4-day,indy_20170127_03_to_indy_20170131_02,indy_20170127_03,indy_20170131_02,Source-only,0.6128384842253483,0.7870055668308992,37.294509232021625
43,4-day,indy_20170127_03_to_indy_20170131_02,indy_20170127_03,indy_20170131_02,Scratch,-0.09847759019442393,0.17730800618704312,62.74982695172186
43,4-day,indy_20170127_03_to_indy_20170131_02,indy_20170127_03,indy_20170131_02,Transfer,0.5145944185764346,0.7297753350176972,41.720056494286574
44,8-day,indy_20160622_01_to_indy_20160630_01,indy_20160622_01,indy_20160630_01,Source-only,-0.01193481999982604,0.026545210913876793,64.99585238283791
44,8-day,indy_20160622_01_to_indy_20160630_01,indy_20160622_01,indy_20160630_01,Scratch,0.24923101346088317,0.5311173078013971,56.343750833399284
44,8-day,indy_20160622_01_to_indy_20160630_01,indy_20160622_01,indy_20160630_01,Transfer,0.15587618732034125,0.45406847963742036,59.624172918199164
44,3-day,indy_20170124_01_to_indy_20170127_03,indy_20170124_01,indy_20170127_03,Source-only,-0.03526149962342051,0.017153446115404702,83.19805318487802
44,3-day,indy_20170124_01_to_indy_20170127_03,indy_20170124_01,indy_20170127_03,Scratch,-0.023691798743274872,0.24892039984605385,82.82327591325146
44,3-day,indy_20170124_01_to_indy_20170127_03,indy_20170124_01,indy_20170127_03,Transfer,0.3946181340682682,0.6324135903336605,63.79530004177728
44,4-day,indy_20170127_03_to_indy_20170131_02,indy_20170127_03,indy_20170131_02,Source-only,0.5870902885269416,0.7749237853001947,38.56810713337741
44,4-day,indy_20170127_03_to_indy_20170131_02,indy_20170127_03,indy_20170131_02,Scratch,-0.1080385488482376,0.16829865797411295,63.015616518053534
44,4-day,indy_20170127_03_to_indy_20170131_02,indy_20170127_03,indy_20170131_02,Transfer,0.354323536924444,0.6809768188758669,48.22905854667158
